"1";"Historische Sammlungen";"";""
"1";"hosting this web site ";"";""
"1";"Idee";"";""
"1";"imaging the original manuscripts";"";""
"1";"Informatikingenieur";"";""
"1";"Informationsarchitektur";"";""
"1";"Informationswissenschaftliche und -technologische Leitung";"";""
"1";"Ingeniero Informático";"";""
"1";"inhaltliche und technische Qualitätskontrolle";"";""
"2";"Interface Development";"";""
"1";"Interface/Web Developer";"";""
"1";"Interfacedesign";"";""
"1";"Investigador principal";"";""
"4";"IT";"";""
"1";"IT support";"";""
"1";"IT-Entwicklung";"";""
"1";"JAVA programming";"";""
"9";"k.a.";"";""
"1";"Katalogisierung / Metadaten / Register und Scanning";"";""
"1";"Kodierung";"";""
"9";"Konzeption";"";""
"1";"Konzeption der digitalen Edition";"";""
"1";"Konzeption der technischen Umsetzung";"";""
"1";"Konzeption des Webinterface";"";""
"1";"Konzeption des XSLT-Stylesheets";"";""
"1";"Konzeption und Umsetzung";"";""
"1";"Konzeption, Programmierung und Gestaltung der digitalen Edition";"";""
"1";"Koordination in der SUB";"";""
"1";"Lead Developer";"";""
"1";"Leitung IT und Softwareentwicklung";"";""
"1";"maintained the systems";"";""
"1";"Manager";"";""
"2";"Managing Editor";"";""
"1";"Managing Editor for Encoding and Transcriptions";"";""
"1";"Metadata Manager";"";""
"3";"Mitarbeiter";"";""
"1";"Mitarbeiterinnen und Mitarbeiter: Edition, Editorische Assistenz, Metadaten, IT, Visualisierung und Portalentwicklung, Suche, GND, Beratung";"";""
"4";"ohne Rolle";"";""
"1";"Omeka Developers";"";""
"1";"Online-Redaktion";"";""
"1";"part-time Research Associates";"";""
"1";"Partners";"";""
"2";"Personal Investigador";"";""
"1";"planning and support";"";""
"1";"Postdoctoral grantees";"";""
"3";"Principal Investigator";"";""
"1";"profesores";"";""
"5";"Programmierung";"";""
"1";"Project Assistants";"";""
"2";"Project Coordinator";"";""
"1";"Project Director";"";""
"1";"Project Intern";"";""
"3";"Project management";"";""
"1";"Project’s technical support officer";"";""
"5";"Projektleitung";"";""
"3";"Projektmitarbeiter";"";""
"1";"Projektverantwortliche";"";""
"1";"provided the project with software and allowed us to avail of their expertise";"";""
"1";"Publikationsdienste, Kulturelles Erbe und Digital Humanities";"";""
"3";"Redaktion";"";""
"1";"Research and encoding specialist";"";""
"2";"Research Associate";"";""
"1";"research students";"";""
"1";"researcher(s)";"";""
"1";"Scientific responsibility";"";""
"1";"Senior Applications Developer";"";""
"1";"Senior Research Coordinator";"";""
"1";"Senior Software Developer";"";""
"1";"Senior XML Programmer/Analyst";"";""
"1";"Softwarearchitektur und -design";"";""
"1";"supplementary research work(er)";"";""
"1";"Support";"";""
"1";"Systems Administrator";"";""
"1";"Teaching researchers";"";""
"2";"Team";"";""
"2";"technical advice";"";""
"1";"Technical Assistant";"";""
"1";"Technical Consultant";"";""
"3";"Technical Development";"";""
"3";"Technical Director";"";""
"1";"Technical head";"";""
"1";"Technical Lead";"";""
"1";"Technical Support";"";""
"2";"Technische Beratung";"";""
"1";"Technische Entwickler";"";""
"1";"Technische Konzeption";"";""
"1";"Technische Realisierung";"";""
"3";"Technische Umsetzung";"";""
"1";"technological advice";"";""
"1";"TEI-conformant text editing";"";""
"1";"TEI-Encoding";"";""
"3";"Text Encoding";"";""
"1";"Text Encoding Lead";"";""
"1";"Texterfassung";"";""
"1";"Transcription and alignment";"";""
"3";"Transcriptions";"";""
"1";"Transkriptionsarbeiten";"";""
"1";"Umsetzung";"";""
"5";"Web Development";"";""
"4";"Webdesign";"";""
"1";"Webentwicklung";"";""
"1";"Website";"";""
"1";"Website Advisor";"";""
"1";"website development";"";""
"1";"Website Working Party";"";""
"1";"Webtechnologien";"";""
"1";"Wissenschaftliche Ausarbeitung";"";""
"3";"Wissenschaftliche Beratung";"";""
"1";"Wissenschaftliche Leitung IT";"";""
"2";"Wissenschaftlicher Mitarbeiter";"";""
"1";"WWW-Redaktion";"";""
"1";"XML Applications Programmer";"";""
"1";"XML encoding";"";""
"1";"XML Technologie";"";""
